discovery_method,log_name,commitizen,FinGPT,FinRL,Nautilus_trader,OpenBB,Qlib,TradingAgents,Vibe-Trading
split_miner_eps_0.1_eta_0.4,whole,0.4209289861467747,0.6966359200948735,0.6546063675807401,0.5635746910928842,,0.6585182130030806,,0.7693446004408044
split_miner_eps_0.1_eta_0.5,random_case_control,0.5475889296949904,0.7323500833731081,0.7149186114237669,0.6807163725662919,,0.6824218212011497,,0.798947452726451
split_miner_eps_0.1_eta_0.5,vitalizing,0.630815442143534,0.7964794483259232,0.7379193037860095,0.6563189120004922,,0.7434432608488875,,0.7990047570550092
split_miner_eps_0.1_eta_0.5,whole,0.5406709604555533,0.7074294472902267,0.7176791219236269,0.6584114518474466,,0.6223963401035951,,0.7904363046082166
split_miner_eps_0.1_eta_0.6,random_case_control,0.5705173929741048,0.7424803071695392,0.7557069979888537,0.7073138797033356,,0.7171760236455869,,0.8151323056516977
split_miner_eps_0.1_eta_0.6,vitalizing,0.662372008608293,0.7735936773593677,0.7379193037860095,0.7574177470624385,,0.7405633698987271,,0.8006043521383586
split_miner_eps_0.1_eta_0.6,whole,0.5151380521031046,0.7049074620480257,0.6582379561764132,0.6429635365434107,,0.7601958046456287,,0.8172618783418701
split_miner_eps_0.2_eta_0.4,random_case_control,0.5069547074001545,0.7253058318856528,0.6663054884650095,0.6299999846058805,,0.6480115752211048,,0.772442190411908
split_miner_eps_0.2_eta_0.4,vitalizing,0.5730115590903851,0.7735316747884072,0.7105039070597969,0.5940793870629287,,0.683529157625983,,0.7556140461299903
split_miner_eps_0.2_eta_0.4,whole,0.4721541293119338,0.6969041690162948,0.6440724136088457,0.5657518275180081,,0.5881683486488419,,0.7693446004408044
split_miner_eps_0.2_eta_0.5,random_case_control,0.5221472339107391,0.7328877918835908,0.6822883333861502,0.6891125837631261,,0.6633787211561818,,0.7935341865154029
split_miner_eps_0.2_eta_0.5,vitalizing,0.6193258818753443,0.7964794483259232,0.7379193037860095,0.6390385430435273,,0.7356603977963925,,0.7990047570550092
split_miner_eps_0.2_eta_0.5,whole,0.45656305984222,0.7074294472902267,0.7142387257617363,0.5979916360806077,,0.5881683486488419,,0.7904363046082166
split_miner_eps_0.2_eta_0.6,random_case_control,0.5414591766982977,0.74259795104432,0.715311913362115,0.7121931227268995,,0.688575431296991,,0.8130522975651656
