variant,count
"('committed', 'review_requested', 'created', 'review_requested', 'review_requested', 'labeled', 'commented', 'cross-referenced', 'commented', 'labeled', 'unlabeled', 'referenced', 'closed')",1
"('committed', 'review_requested', 'created', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'milestoned', 'base_ref_changed', 'renamed', 'reviewed', 'closed', 'merged')",1
"('committed', 'review_requested', 'created', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'renamed', 'reviewed', 'merged', 'closed', 'cross-referenced', 'head_ref_deleted')",1
"('committed', 'review_requested', 'review_requested', 'created', 'labeled', 'review_requested', 'labeled', 'reviewed', 'merged', 'head_ref_deleted', 'closed')",1
"('created', 'assigned', 'labeled', 'labeled', 'commented', 'unlabeled', 'labeled', 'unlabeled', 'cross-referenced', 'labeled', 'labeled', 'unlabeled', 'cross-referenced', 'referenced', 'cross-referenced', 'referenced', 'commented', 'closed', 'commented')",1
"('created', 'base_ref_force_pushed', 'head_ref_force_pushed', 'labeled', 'labeled', 'renamed', 'commented', 'base_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('created', 'commented', 'closed', 'commented')",1
"('created', 'commented', 'closed', 'referenced', 'referenced', 'cross-referenced')",1
"('created', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'referenced', 'cross-referenced', 'closed')",1
"('created', 'commented', 'commented', 'commented', 'review_requested', 'reviewed', 'labeled', 'labeled', 'labeled', 'labeled', 'unlabeled', 'cross-referenced', 'review_requested', 'review_requested', 'review_requested', 'head_ref_force_pushed', 'labeled', 'commented', 'subscribed', 'mentioned', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'cross-referenced', 'unlabeled', 'unlabeled', 'unlabeled', 'assigned', 'assigned', 'head_ref_force_pushed', 'committed', 'committed', 'head_ref_force_pushed', 'renamed', 'commented', 'mentioned', 'subscribed', 'subscribed', 'mentioned', 'committed', 'committed', 'commented', 'commented', 'head_ref_force_pushed', 'commented', 'subscribed', 'mentioned', 'commented', 'commented', 'commented', 'reviewed', 'closed', 'merged', 'cross-referenced')",1
"('created', 'commented', 'commented', 'committed', 'head_ref_force_pushed', 'merged', 'closed')",1
"('created', 'commented', 'commented', 'cross-referenced', 'mentioned', 'commented', 'subscribed', 'subscribed', 'mentioned', 'commented', 'commented', 'mentioned', 'subscribed', 'subscribed', 'mentioned', 'commented', 'subscribed', 'commented', 'mentioned', 'cross-referenced', 'cross-referenced', 'labeled', 'subscribed', 'commented', 'mentioned', 'commented', 'subscribed', 'mentioned', 'commented', 'mentioned', 'subscribed', 'head_ref_force_pushed', 'reviewed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'mentioned', 'subscribed', 'commented', 'unlabeled', 'reviewed', 'commented', 'commented', 'commented', 'head_ref_force_pushed', 'commented', 'subscribed', 'mentioned', 'commented', 'subscribed', 'commented', 'mentioned', 'labeled', 'labeled', 'unlabeled', 'cross-referenced', 'labeled', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'review_requested', 'head_ref_force_pushed', 'review_requested', 'commented', 'closed')",1
"('created', 'commented', 'commented', 'reviewed', 'labeled', 'unlabeled', 'labeled', 'labeled', 'unlabeled', 'head_ref_force_pushed', 'commented', 'mentioned', 'subscribed', 'review_requested', 'labeled', 'unlabeled', 'reviewed', 'labeled', 'unlabeled', 'reviewed', 'review_requested', 'commented', 'mentioned', 'subscribed', 'unlabeled', 'labeled', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'reviewed', 'unlabeled', 'labeled', 'closed', 'merged', 'head_ref_deleted')",1
"('created', 'commented', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'reviewed', 'subscribed', 'mentioned', 'commented', 'labeled', 'subscribed', 'mentioned', 'mentioned', 'commented', 'subscribed', 'cross-referenced', 'labeled', 'cross-referenced', 'commented', 'reviewed', 'cross-referenced', 'commented', 'cross-referenced', 'commented', 'subscribed', 'mentioned', 'commented', 'commented', 'closed', 'commented')",1
"('created', 'commented', 'committed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'committed', 'committed', 'commented', 'merged', 'closed', 'commented', 'head_ref_deleted', 'cross-referenced', 'cross-referenced')",1
"('created', 'commented', 'committed', 'head_ref_force_pushed', 'merged', 'closed', 'head_ref_deleted')",1
"('created', 'commented', 'labeled', 'labeled', 'commented', 'closed')",1
"('created', 'commented', 'labeled', 'mentioned', 'subscribed', 'commented', 'milestoned', 'commented', 'labeled', 'unlabeled', 'unlabeled', 'labeled', 'cross-referenced', 'labeled', 'demilestoned', 'commented', 'cross-referenced', 'cross-referenced', 'commented', 'commented', 'commented', 'cross-referenced', 'cross-referenced', 'mentioned', 'subscribed', 'commented', 'commented', 'cross-referenced', 'commented', 'commented', 'closed', 'cross-referenced')",1
"('created', 'commented', 'labeled', 'referenced', 'cross-referenced', 'referenced', 'commented', 'milestoned', 'labeled', 'referenced', 'cross-referenced', 'referenced', 'referenced', 'closed', 'commented', 'referenced')",1
"('created', 'commented', 'mentioned', 'subscribed', 'mentioned', 'commented', 'subscribed', 'cross-referenced', 'commented', 'subscribed', 'commented', 'mentioned', 'head_ref_force_pushed', 'commented', 'reviewed', 'commented', 'commented', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'committed', 'committed', 'committed', 'cross-referenced', 'committed', 'review_requested', 'commented', 'subscribed', 'mentioned', 'cross-referenced', 'commented', 'mentioned', 'subscribed', 'reviewed', 'review_request_removed', 'review_requested', 'review_request_removed', 'review_requested', 'review_request_removed', 'review_requested', 'review_request_removed', 'review_requested', 'review_request_removed', 'review_requested', 'cross-referenced', 'commented', 'reviewed', 'subscribed', 'commented', 'mentioned', 'cross-referenced', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted', 'cross-referenced')",1
"('created', 'commented', 'ready_for_review', 'cross-referenced', 'reviewed', 'labeled', 'committed', 'merged', 'closed', 'head_ref_deleted')",1
"('created', 'committed', 'review_requested', 'review_requested', 'labeled', 'review_requested', 'labeled', 'commented', 'closed', 'commented', 'head_ref_deleted')",1
"('created', 'cross-referenced', 'closed')",1
"('created', 'cross-referenced', 'commented', 'committed', 'commented', 'merged', 'closed')",1
"('created', 'cross-referenced', 'commented', 'labeled', 'milestoned', 'mentioned', 'commented', 'subscribed', 'commented', 'labeled', 'referenced', 'cross-referenced', 'referenced', 'referenced', 'commented', 'closed', 'referenced')",1
"('created', 'cross-referenced', 'commented', 'review_requested', 'assigned', 'reviewed', 'labeled', 'labeled', 'unlabeled', 'commented', 'commented', 'unlabeled', 'labeled', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'closed', 'head_ref_force_pushed', 'cross-referenced')",1
"('created', 'cross-referenced', 'head_ref_force_pushed', 'commented', 'mentioned', 'commented', 'mentioned', 'subscribed', 'subscribed', 'reviewed', 'review_requested', 'referenced', 'labeled', 'reviewed', 'reviewed', 'reviewed', 'commented', 'labeled', 'unlabeled', 'referenced', 'commented', 'referenced', 'head_ref_force_pushed', 'commented', 'mentioned', 'subscribed', 'commented', 'subscribed', 'mentioned', 'labeled', 'labeled', 'commented', 'head_ref_force_pushed', 'labeled', 'commented', 'subscribed', 'subscribed', 'mentioned', 'mentioned', 'review_requested', 'mentioned', 'subscribed', 'mentioned', 'commented', 'subscribed', 'commented', 'mentioned', 'subscribed', 'unlabeled', 'unlabeled', 'unlabeled', 'unlabeled', 'labeled', 'assigned', 'review_requested', 'reviewed', 'labeled', 'unlabeled', 'commented', 'subscribed', 'mentioned', 'head_ref_force_pushed', 'labeled', 'review_requested', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'reviewed', 'subscribed', 'mentioned', 'commented', 'unlabeled', 'commented', 'commented', 'reviewed', 'labeled', 'labeled', 'head_ref_force_pushed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'mentioned', 'subscribed', 'merged', 'closed', 'commented', 'head_ref_deleted')",1
"('created', 'head_ref_force_pushed', 'commented', 'head_ref_force_pushed', 'commented', 'subscribed', 'mentioned', 'commented', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'commented', 'subscribed', 'commented', 'mentioned', 'subscribed', 'mentioned', 'commented', 'review_requested', 'merged', 'closed', 'head_ref_deleted')",1
"('created', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'closed', 'merged')",1
"('created', 'head_ref_force_pushed', 'head_ref_force_pushed', 'commented', 'head_ref_force_pushed', 'closed', 'reopened', 'commented', 'subscribed', 'mentioned', 'commented', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'mentioned', 'subscribed', 'reviewed', 'labeled', 'labeled', 'commented', 'closed', 'merged', 'cross-referenced')",1
"('created', 'head_ref_force_pushed', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'closed', 'merged', 'head_ref_deleted')",1
"('created', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'merged', 'closed', 'head_ref_deleted')",1
"('created', 'labeled', 'base_ref_changed', 'labeled', 'commented', 'review_requested', 'review_requested', 'review_requested', 'ready_for_review', 'convert_to_draft', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'ready_for_review', 'renamed', 'head_ref_force_pushed', 'labeled', 'head_ref_force_pushed', 'milestoned', 'reviewed', 'labeled', 'unlabeled', 'labeled', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'unlabeled', 'reviewed', 'merged', 'closed')",1
"('created', 'labeled', 'closed', 'commented')",1
"('created', 'labeled', 'commented', 'closed', 'commented', 'commented', 'commented', 'commented', 'commented', 'subscribed', 'mentioned', 'commented', 'commented', 'commented')",1
"('created', 'labeled', 'commented', 'closed', 'commented', 'commented', 'commented', 'reopened', 'commented', 'commented', 'commented', 'closed', 'referenced', 'cross-referenced', 'reopened', 'commented', 'commented', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'labeled', 'cross-referenced', 'cross-referenced', 'subscribed', 'commented', 'mentioned', 'commented', 'subscribed', 'mentioned', 'cross-referenced', 'commented', 'closed', 'commented', 'commented', 'commented', 'cross-referenced', 'commented', 'commented', 'commented', 'commented')",1
"('created', 'labeled', 'commented', 'commented', 'closed')",1
"('created', 'labeled', 'commented', 'commented', 'closed', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'closed', 'referenced')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'referenced', 'closed', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'commented', 'commented', 'referenced', 'cross-referenced', 'labeled', 'commented', 'milestoned', 'unlabeled', 'labeled', 'labeled', 'labeled', 'unlabeled', 'cross-referenced', 'commented', 'closed', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'commented', 'labeled', 'commented', 'closed', 'commented', 'commented')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'cross-referenced', 'closed', 'commented')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'cross-referenced', 'labeled', 'unlabeled', 'cross-referenced', 'assigned', 'assigned', 'unassigned', 'labeled', 'unlabeled', 'labeled', 'referenced', 'closed', 'closed')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'labeled', 'unlabeled', 'commented', 'commented', 'commented', 'closed')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'referenced', 'cross-referenced', 'referenced', 'referenced', 'referenced', 'commented', 'closed')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'subscribed', 'mentioned', 'commented', 'closed', 'commented', 'subscribed', 'mentioned')",1
"('created', 'labeled', 'commented', 'commented', 'commented', 'subscribed', 'mentioned', 'commented', 'mentioned', 'subscribed', 'commented', 'cross-referenced', 'subscribed', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'commented', 'commented', 'commented', 'closed', 'commented', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'commented', 'cross-referenced', 'commented', 'closed', 'commented', 'mentioned', 'subscribed', 'commented', 'subscribed', 'mentioned', 'commented', 'mentioned', 'subscribed', 'commented', 'subscribed', 'mentioned')",1
"('created', 'labeled', 'commented', 'commented', 'labeled', 'unlabeled', 'commented', 'commented', 'commented', 'labeled', 'labeled', 'commented', 'commented', 'closed', 'commented', 'commented', 'commented', 'commented', 'cross-referenced', 'cross-referenced', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'commented', 'labeled', 'unlabeled', 'labeled', 'unlabeled', 'labeled', 'cross-referenced', 'labeled', 'referenced', 'commented', 'closed')",1
"('created', 'labeled', 'commented', 'commented', 'subscribed', 'mentioned', 'commented', 'mentioned', 'commented', 'subscribed', 'locked', 'converted_to_discussion')",1
"('created', 'labeled', 'commented', 'cross-referenced', 'cross-referenced', 'commented', 'closed', 'commented', 'mentioned', 'mentioned', 'subscribed', 'subscribed')",1
"('created', 'labeled', 'commented', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'closed', 'commented', 'head_ref_deleted')",1
"('created', 'labeled', 'commented', 'issue_type_added', 'labeled', 'unlabeled', 'labeled', 'commented', 'subscribed', 'mentioned', 'commented', 'assigned', 'commented', 'commented', 'closed')",1
"('created', 'labeled', 'commented', 'labeled', 'closed', 'commented')",1
"('created', 'labeled', 'commented', 'labeled', 'labeled', 'mentioned', 'subscribed', 'commented', 'cross-referenced', 'closed', 'commented', 'unlabeled', 'labeled')",1
"('created', 'labeled', 'commented', 'mentioned', 'mentioned', 'subscribed', 'subscribed', 'labeled', 'unlabeled', 'labeled', 'assigned', 'assigned', 'closed', 'commented', 'unlabeled', 'labeled', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'mentioned', 'subscribed', 'commented', 'commented', 'commented', 'subscribed', 'mentioned', 'commented', 'commented', 'labeled', 'commented', 'commented', 'mentioned', 'subscribed', 'cross-referenced', 'cross-referenced', 'cross-referenced', 'commented', 'mentioned', 'subscribed', 'closed')",1
"('created', 'labeled', 'commented', 'mentioned', 'subscribed', 'labeled', 'commented', 'commented', 'mentioned', 'subscribed', 'labeled', 'mentioned', 'subscribed', 'commented', 'commented', 'cross-referenced', 'commented', 'commented', 'commented', 'mentioned', 'subscribed', 'subscribed', 'mentioned', 'subscribed', 'mentioned', 'commented', 'cross-referenced', 'closed')",1
"('created', 'labeled', 'commented', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'reviewed', 'committed', 'renamed', 'commented', 'reviewed', 'closed', 'merged')",1
"('created', 'labeled', 'commented', 'reviewed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'unsubscribed', 'head_ref_force_pushed', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'commented', 'closed', 'head_ref_deleted')",1
"('created', 'labeled', 'commented', 'subscribed', 'commented', 'mentioned', 'commented', 'cross-referenced', 'closed', 'cross-referenced')",1
"('created', 'labeled', 'commented', 'subscribed', 'mentioned', 'labeled', 'labeled', 'unlabeled', 'labeled', 'cross-referenced', 'commented', 'renamed', 'referenced', 'cross-referenced', 'referenced', 'commented', 'closed', 'subscribed', 'mentioned', 'commented', 'subscribed', 'mentioned', 'commented', 'subscribed', 'mentioned')",1
"('created', 'labeled', 'cross-referenced', 'assigned', 'labeled', 'unlabeled', 'labeled', 'referenced', 'closed')",1
"('created', 'labeled', 'cross-referenced', 'closed', 'referenced')",1
