variant,count
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'commented', 'milestoned', 'convert_to_draft', 'unlabeled', 'labeled', 'demilestoned', 'milestoned', 'base_ref_changed', 'base_ref_force_pushed', 'commented', 'closed', 'demilestoned')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'head_ref_force_pushed', 'cross_referenced', 'commented', 'committed', 'head_ref_force_pushed', 'commented', 'commented', 'commented', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'milestoned', 'labeled', 'unlabeled', 'convert_to_draft', 'base_ref_changed', 'demilestoned', 'milestoned', 'base_ref_force_pushed', 'base_ref_force_pushed', 'base_ref_force_pushed', 'base_ref_force_pushed', 'base_ref_deleted', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'created', 'reviewed', 'commented', 'mentioned', 'subscribed', 'reviewed', 'reviewed', 'committed', 'committed', 'committed', 'committed', 'commented', 'committed', 'committed', 'merged', 'closed', 'commented', 'mentioned', 'subscribed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'committed', 'committed', 'commented', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'commented', 'committed', 'head_ref_force_pushed', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'committed', 'commented', 'reviewed', 'reviewed', 'cross_referenced', 'renamed', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'committed', 'commented', 'committed', 'committed', 'reviewed', 'commented', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'committed', 'merged', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'renamed', 'commented', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'renamed', 'committed', 'reviewed', 'commented', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'commented', 'commented', 'commented', 'commented', 'commented', 'commented', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'committed', 'committed', 'head_ref_force_pushed', 'commented', 'reviewed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'closed', 'commented', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'closed')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'commented', 'commented', 'closed', 'reopened', 'reviewed', 'reviewed', 'commented', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'commented', 'convert_to_draft', 'committed', 'committed', 'commented', 'ready_for_review', 'commented', 'commented', 'mentioned', 'subscribed', 'reviewed', 'reviewed', 'merged', 'closed', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'commented', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'committed', 'created', 'committed', 'committed', 'commented', 'commented', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'committed', 'closed', 'commented', 'reopened', 'mentioned', 'subscribed', 'closed')",1
